branch_code,สาขา,ที่อยู่,จังหวัด,ภูมิภาค,postcode,ผอ.สาขา,เคาน์เตอร์ขาย,แคชเชียร์โครงสร้าง,โทรศัพท์,เวลาบริการ,line,facebook,เส้นทาง (Google Maps),latitude,longitude,ทำเลเป็นแบบไหน,อยู่บนเส้นถนนแบบไหน,รอบๆมักเป็นอะไร,สถานที่ใกล้เคียง
GH-101,สาขาร้อยเอ็ด,"232 หมู่ที่ 19,รอบเมือง อำเภอเมืองร้อยเอ็ด,ร้อยเอ็ด 45000",ร้อยเอ็ด,Esan,45000,092-2471301,092-2477501,092-2477601,1160,07:30 น. - 19:00 น.,https://lin.ee/tRJU76z,https://bit.ly/fb-GBH-RE,"https://maps.google.com/?q=16.035752,103.651112",16.035752,103.651112,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ธนาคาร(2), ตู้ ATM(2), โรงเรียน(1), ร้านฮาร์ดแวร์(1), ร้านอิเล็กทรอนิกส์(1), ปั๊มน้ำมัน(1)","โรงเรียนเทศบาลวัดราษฎรอุทิศ, โกลบอลเฮ้าส์ ร้อยเอ็ด, หลังคาเหล็ก โมเดิร์น เอ สตีล สาขาร้อยเอ็ด, ATM กสิกรไทย บจก.อิสรชน ประตูน้ำร้อยเอ็ด (ร้อยเอ็ด), บริษัท เมืองไทยเอาท์เล็ท จำกัด, PTT Station ปตท.รอบเมืองร้อยเอ็ด (น้ำมัน+EV) บจ.ที พี พี พาวเวอร์, ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาพลาญชัย, ATM K-Bank, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (ร้อยเอ็ด)"
GH-102,สาขาขอนแก่น,377 หมู่ที่ 21 ถนนมะลิวัลย์ ตำบลบ้านเป็ด อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,ขอนแก่น,Esan,40000,092-2471302,092-2477502,092-2477602,1160,07:30 น. - 20:00 น.,https://lin.ee/o8BvEMg,https://bit.ly/FB-GBH-KK,"https://maps.google.com/?q=16.446116,102.78175",16.446116,102.78175,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"อู่ซ่อมรถ(3), ตู้ ATM(2), ปั๊มน้ำมัน(2), ร้านของตกแต่งบ้าน(2), วัด/ศาสนสถาน(1), ที่พัก/โรงแรม(1), โรงเรียน(1)","วัดโมกขวนาราม, บริษัท เดอะ กรีนเนอรี่ รีสอร์ท จำกัด, บริษัท คิงส์พาวเวอร์แมกซ์ จำกัด, ATM กสิกรไทย ห้างทองโกลบอลเฮ้าส์ ขอนแก่น, ห้างหุ้นส่วนจำกัด ดาวนิวขอนแก่น, ATM K- Bank, ไพรัชโฮมเดคคอร์, ห้างหุ้นส่วน ที พี ออโต้เทรค จำกัด, บางจาก, ศุภาลัย การ์เด้น วิลล์ มะลิวัลย์ (ขอนแก่น)"
GH-103,สาขาอุดรธานี,"202 หมู่ 5 เลี่ยงเมือง,สาขาอุดรธานี 202,ตำบล สามพร้าว อำเภอเมืองอุดรธานี,อุดรธานี 41000",อุดรธานี,Esan,41000,092-2471303,092-2477503,092-2477603,1160,07:30 น. - 20:00 น.,https://lin.ee/rITlQGW,https://bit.ly/FB-GBH-UD,"https://maps.google.com/?q=17.425789,102.812356",17.425789,102.812356,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ที่พัก/โรงแรม(3), ร้านของตกแต่งบ้าน(3), ซูเปอร์มาร์เก็ต(2), โรงเรียน(2), ห้างสรรพสินค้า(1), อู่ซ่อมรถ(1)","เซฟมาร์ท ซุปเปอร์สโตร์ สำนักงานใหญ่, โรงแรมภูคะนิง, 9D Sport Hotel, โรงแรมมองนอน อุดรธานี, โรงเรียนบ้านหนองบุนาหล่ำ, ฺบอนกาแฟ สาขาอุดรธานี, อุดรม่านดีไซน์ แอนด์ ซัพพลาย (สาขา 1), สีรุ่งรวี Pro paint อุดรธานี, บริษัท วิทยาภัณฑ์ ซูเปอร์เซ็นเตอร์ จำกัด, โกลบอลเฮ้าส์ อุดรธานี"
GH-104,สาขาเวียงกุมกาม,99/3 หมู่ที่ 11 ตำบลท่าวังตาล อำเภอสารภี จังหวัดเชียงใหม่ 50140,เชียงใหม่,Northern,50140,092-2471304,092-2477504,092-2477604,1160,07:30 น. - 20:00 น.,https://lin.ee/7kEOeLE,https://bit.ly/FB-GBH-WK,"https://maps.google.com/?q=18.743414,99.000379",18.743414,99.000379,ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ที่พัก/โรงแรม(3), ตู้ ATM(1), ร้านอิเล็กทรอนิกส์(1), วัด/ศาสนสถาน(1)","เวียงกุมกาม รีสอร์ท, เวียงกุมกาม, hiii-Homtel Astra Apartment-Free Pool & Gym & Wifi, X Max guest house, ATM Bangkok Bank, เชียงใหม่ประตูดูด สไลด์ไฟฟ้ารถตู้, คริสตจักรน้ำพุแห่งชีวิต"
GH-105,สาขาระยอง,"137 หมู่ ที่ 4,ทับมา, เมืองระยอง,Rayong 21000'",ระยอง,Eastern,21000,092-2471305,092-2477505,092-2477605,1160,07:30 น. - 20:00 น.,https://lin.ee/A4V7qov,https://bit.ly/FB-GBH-RY,"https://maps.google.com/?q=12.707095,101.236589",12.707095,101.236589,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านอาหาร(2), ตู้ ATM(2), โรงเรียน(2), ที่พัก/โรงแรม(1), ร้านของตกแต่งบ้าน(1), ธนาคาร(1)","โรงพยาบาลส่งเสริมสุขภาพตำบลทับมา, ร้านอาหารนายฮ๊อก, NIDA Rooms Pramote 14 Thapma City, จรูญคาร์เซ็นเตอร์, สำนักงานเทศบาลตำบลทับมา, ATM กสิกรไทย บจก.สยามโกลบอลเฮ้าส์ ระยอง, ATM ธนาคารกสิกรไทย, โกลบอลเฮ้าส์ ระยอง, ศูนย์พัฒนาเด็กเล็กบ้านทับมา, ศูนย์การศึกษาพิเศษ ประจำจังหวัดระยอง"
GH-106,สาขาชลบุรี,"25/74 หมู่ ที่ 3,บ้านสวน, เมืองชลบุรี ชลบุรี  20000",ชลบุรี,Eastern,20000,092-2471306,092-2477506,092-2477606,1160,07:30 น. - 19:00 น.,https://lin.ee/tUyc7kR,https://bit.ly/FB-GBH-CB,"https://maps.google.com/?q=13.333305,100.981600",13.333305,100.981600,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน เลี่ยงเมืองชลบุรี (ถนน),"อู่ซ่อมรถ(1), ร้านของตกแต่งบ้าน(1), ที่พัก/โรงแรม(1), ปั๊มน้ำมัน(1)","การ์โต้ ออดิโอ (KATO AUDIO), โกลบอลเฮ้าส์ ชลบุรี, MG Chonburi Bypass - เอ็มจี ชลบุรี บายพาส (Primus Group), โรงแรมบ้านสวนรีสอร์ท ชลบุรี, บริษัท จรัสแสง อิเล็คทริค จำกัด, ปั้มบางจาก (บายพาสชลบุรี), ศุภาลัย วิลล์ ชลบุรี, CHON GOOD CAR รถยนต์มือสองชลบุรี, Smart Accounting and Tax Co.,Ltd."
GH-107,สาขานครปฐม,222 หมู่ที่ 8 ตำบลลำพยา อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000,นครปฐม,BKK&Metro,73000,092-2471307,092-2477507,092-2477607,1160,08:00 น. - 19:00 น.,https://lin.ee/jSshjwE,https://bit.ly/fb-GBH-NP,"https://maps.google.com/?q=13.800998,100.004520",13.800998,100.004520,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ซอยหนองหิน 3 (ซอย (ถนนย่อย)),"ตู้ ATM(3), อู่ซ่อมรถ(3), ร้านอิเล็กทรอนิกส์(1), ที่พัก/โรงแรม(1), โรงเรียน(1), ซูเปอร์มาร์เก็ต(1), ร้านของตกแต่งบ้าน(1)","ATM ธนาคารไทยพาณิชย์ MAKRO นครปฐม, บริษัท วีไอพี ทรัคส์ แอนด์ พาร์ท จำกัด, ค็อกพิท แม็คโคร นครปฐม, บจก. เซียงกงนครปฐม (888), ATM Bangkok Bank, Bangkok Bank Cash Deposit Machine (CDM), ศูนย์ ดาวเทียม นครปฐม จานดาวเทียม กล้องวงจรปิด โซล่าเซลล์ ประตูอัตโนมัติ พร้อมอุปกรณ์, เมมโมรี่โฮม นครปฐม, โรงเรียนบอสโกพิทักษ์, แม็คโคร นครปฐม"
GH-108,สาขาราชบุรี,"280 หมู่ ที่ 2,เจดีย์หัก, เมืองราชบุรี ราชบุรี 70000",ราชบุรี,Western,70000,092-2471308,092-2477508,092-2477608,1160,08:00 น. - 19:00 น.,https://lin.ee/kmFMvLr,https://bit.ly/FB-GBH-RB,"https://maps.google.com/?q=13.547015,99.807503",13.547015,99.807503,ย่านค้าวัสดุ/ตกแต่งบ้าน,ไม่พบข้อมูล,"ตู้ ATM(3), ร้านของตกแต่งบ้าน(2), ร้านเสื้อผ้า(1), อู่ซ่อมรถ(1)","บริษัท ไมโครลิสซิ่ง จำกัด, ATM ธนาคารไทยพาณิชย์ 7-11 ปั๊ม PTT ราชบุรี, โกลบอลเฮ้าส์ ราชบุรี, ATM SCB Bank, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (ราชบุรี), บ้านกรองน้ำ ราชบุรี, บาย-จันหอม กรุงเทพฯ แล็บ, นิรันดร์ออโต้, โรงงานตู้ลำโพงรถยนต์ ช่างยุ่น"
GH-109,สาขากาฬสินธุ์,"193 หมู่ที่ 10, ลำพาน, เมืองกาฬสินธุ์, กาฬสินธุ์ 46000",กาฬสินธุ์,Esan,46000,092-2471309,092-2477509,092-2477609,1160,08:00 น. - 19:00 น.,https://lin.ee/6kXpeao,https://bit.ly/FB-GBH-KS,"https://maps.google.com/?q=16.413444,103.470572",16.413444,103.470572,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ถนน ถีนานนท์ (ถนน),"ตู้ ATM(2), ร้านอาหาร(2), ซูเปอร์มาร์เก็ต(2), ร้านของตกแต่งบ้าน(1), คาเฟ่(1)","ศูนย์จำหน่ายรถยนต์เชฟโรเลต, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (กาฬสินธุ์), โกลบอลเฮ้าส์ กาฬสินธุ์, La Mayon coffee สาขากาฬสินธุ์, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (กาฬสินธุ์), เค.เอ.เอส ยนตรการ กาฬสินธุ์, ออโตเซลส์ อินทรี คอนกรีต, บริษัท บางนาแป้งมัน จำกัด, BANGNA TAPIOCA FLOUR, โรงน้ำดื่มไดโน"
GH-110,สาขานครสวรรค์,"99/6 หมู่ที่ 10, ตำบลหนองกรด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์, 60240",นครสวรรค์,Northern,60240,092-2471310,092-2477510,092-2477610,1160,07:30 น. - 20:00 น.,https://lin.ee/3HFXm3G,https://bit.ly/FB-GBH-NW,"https://maps.google.com/?q=15.712625,100.054898",15.712625,100.054898,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"คาเฟ่(4), ร้านอาหาร(2), ร้านของตกแต่งบ้าน(1), ห้างสรรพสินค้า(1), ปั๊มน้ำมัน(1), ตู้ ATM(1)","โกลบอลเฮ้าส์ นครสวรรค์, ศูนย์บริการทีทีแอนด์ทีครสวรรค์, ปั๊มน้ำมันและEVบางจาก - สหกรณ์การเกษตร เมืองนครสวรรค์ จำกัด, บริษัท ประกันภัยไทยวิวัฒน์ จำกัด (มหาชน) สาขานครสวรรค์, ATM ธนาคารธนชาต (มหาวิทยาลัยเจ้าพระยา), La Mayon coffee สาขานครสวรรค์, โกลบอลเฮ้าส์ สาขานครสวรรค์, บ้านโมบาย, บริษัท กฤชเจริญ รับสร้างบ้าน, Airplane Cafe นครสวรรค์"
GH-112,สาขามหาสารคาม,"28 ถนน สารคาม วาปีปทุม,ตลาด, เมืองมหาสารคาม 44000",มหาสารคาม,Esan,44000,092-2471311,092-2477511,092-2477611,1160,07:30 น. - 19:00 น.,https://lin.ee/zXtI7wc,https://bit.ly/FB-GBH-MS,"https://maps.google.com/?q=16.169304,103.309458",16.169304,103.309458,ย่านค้าวัสดุ/ตกแต่งบ้าน,ไม่พบข้อมูล,"คาเฟ่(2), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1), ธนาคาร(1), ตู้ ATM(1)","โกลบอลเฮ้าส์ สาขามหาสารคาม, ThePrincessHouseCosmetic&Spa, S Xenon-RA, ห้างหุ้นส่วนจำกัด ศรีสงวนชัย มอเตอร์, เวสเทิร์น ยูเนี่ยน, La mayon coffee, ATM กสิกรไทย บมจ.สยามโกลบอลเฮ้าส์ มหาสารคาม, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (มหาสารคาม), สมาคมกู้ภัยเทพนิมิตร มหาสารคาม, ทอฝันคอฟฟี่ คาเฟ่"
GH-113,สาขาบ้านไผ่,เลขที่ 77 หมู่ที่ 6 ตำบล/แขวง หัวหนอง อำเภอ/เขต บ้านไผ่ จังหวัด ขอนแก่น 40110,ขอนแก่น,Esan,40110,092-2471325,092-2477525,092-2477625,1160,08:00 น. - 19:00 น.,https://lin.ee/vA014mW,https://bit.ly/33CQEk2,"https://maps.google.com/?q=16.050809,102.7114413",16.050809,102.7114413,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ธนาคาร(2), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ซูเปอร์มาร์เก็ต(1), โรงเรียน(1), ที่พัก/โรงแรม(1)","ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาบ้านไผ่, ศูนย์จำหน่ายรถยนต์อีซูซุ, โกลบอลเฮ้าส์ บ้านไผ่, บิ๊กซี บ้านไผ่, ธกส. สาขาบ้านไผ่, ATM Bank for Agriculture and Agricultural Cooperatives, โรงเรียนบ้านไผ่ยิ่งยงอุทิศ, ศูนย์วิทยาศาสตร์เพื่อการศึกษาจังหวัดขอนแก่น กรมส่งเสริมการเรียนรู้ กระทรวงศึกษาธิการ, วิชี่ ไทยแลนด์ ร้านบริษัท บิ๊กซีซูเปอร์เซ็นเตอร์ จำกัด, ATM K- Bank"
GH-114,สาขาหนองคาย,365 หมู่ 6 ตำบลหนองกอมเกาะ อำเภอเมืองหนองคาย จังหวัดหนองคาย 43000,หนองคาย,Esan,43000,092-2471312,092-2477512,092-2477612,1160,08:00 น. - 19:00 น.,https://lin.ee/uTB96Ts,https://bit.ly/FB-GBH-NK,"https://maps.google.com/?q=17.833740,102.752140",17.833740,102.752140,ย่านค้าวัสดุ/ตกแต่งบ้าน,ไม่พบข้อมูล,"ตู้ ATM(3), ธนาคาร(2), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1)","ATM กสิกรไทย บมจ.สยามโกลบอลเฮ้าส์ สาขาหนองคาย, โกลบอลเฮ้าส์ หนองคาย, ATM K-Bank, บริษัท พิจิตรเพชรยานยนต์ จำกัด, ATM Krung Thai Bank, ATM กสิกรไทย แม็คโคร หนองคาย, ฟอร์ดฑีฆเจริญ สาขา หนองคาย"
GH-115,สาขานครราชสีมา,493 หมู่ที่ 2 ตำบลบ้านเกาะ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,นครราชสีมา,Esan,30000,092-2471313,092-2477513,092-2477613,1160,07:30 น. - 20:00 น.,https://lin.ee/oHeCORQ,https://bit.ly/FB-GBH-NS,"https://maps.google.com/?q=15.006401,102.126459",15.006401,102.126459,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน มิตรภาพ (ถนน),"ที่พัก/โรงแรม(4), โรงเรียน(2), วัด/ศาสนสถาน(1), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1), ปั๊มน้ำมัน(1)","ยู-สบาย พาร์ค โฮเทล & รีสอร์ท, วันดีดีรีสอร์ท โคราช, วัดสระบัวเกลื่อน, Baan Le Vimaan resort (บ้านเลอวิมาน รีสอร์ท), โรงเรียนบึงพญาปราบ, โกลบอลเฮ้าส์ นครราชสีมา, บริษัท โตโยต้าทองรวยสีมา จำกัด (จอหอ), ศูนย์ซ่อมสีและตัวถัง สาขา-โคราช เอกสหกรุ๊ป Ford-Mazda-Nissan, ฟอร์ด โคราช-จอหอ เอกสหกรุ๊ป, GWM Korat"
GH-116,สาขาสกลนคร,444  ถนนสกลนคร-นาแก ตำบลธาตุเชิงชุม อำเภอเมืองสกลนคร      จังหวัดสกลนคร 47000,สกลนคร,Esan,47000,092-2471314,092-2477514,092-2477614,1160,08:00 น. - 19:00 น.,https://lin.ee/njupD0h,https://bit.ly/FB-GBH-SN,"https://maps.google.com/?q=17.128782,104.139370",17.128782,104.139370,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"คาเฟ่(3), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ร้านฮาร์ดแวร์(1), วัด/ศาสนสถาน(1), อู่ซ่อมรถ(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ สกลนคร, อินทนิลสปา, บริษัท ห้างกระจกตังน้ำ จำกัด สาขาสกลนคร, ตู้ ATM ไทยพาณิชย์, La Mayon coffee สาขาสกลนคร, บมจ.สยามโกลบอลเฮ้าส์ (สกลนคร), ภาษามือ coffee ร้านกแฟคนหูหนวก, สตางค์ คาเฟ่ แอนด์ เรสเตอรองท์, วัดบ้านนาอ้อย, พีทีที ยานยนต์ - ช่างแป๊ปซี่"
GH-117,สาขานครพนม,147/3 ถนนประชาร่วมมิตร ตำบลหนองญาติ อำเภอเมืองนครพนม จังหวัดนครพนม 48000,นครพนม,Esan,48000,092-2471315,092-2477515,092-2477615,1160,08:00 น. - 19:00 น.,https://lin.ee/1Zx1FXT,https://bit.ly/FB-GBH-NN,"https://maps.google.com/?q=17.376547,104.786851",17.376547,104.786851,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนนเลี่ยงเมือง (ถนน),"ร้านอาหาร(7), ที่พัก/โรงแรม(2), อู่ซ่อมรถ(1), ร้านของตกแต่งบ้าน(1), โรงเรียน(1), ร้านอิเล็กทรอนิกส์(1), ปั๊มน้ำมัน(1)","โรงแรมเดอะริเวอร์ นครพนม, ประยูรปลาเผา, สวนอาหารสวนไผ่ริมโขง, อู่เฉลิมการช่าง, โกลบอลเฮ้าส์ นครพนม, โรงเรียนบ้านน้อยใต้, ร้านนครแซทคอม, PTT Station ปตท.เลี่ยงเมืองนครพนม (น้ำมัน+EV) หจก. พนมบริการ, 7-Eleven สาขา PTTOR เลี่ยงเมืองนครพนม (04392), Quality Foods Deli Shop"
GH-118,สาขาชัยภูมิ,เลขที่ 8 หมู่ที่ 11 ตำบล/แขวง หนองนาแซง อำเภอ/เขต เมืองชัยภูมิ จังหวัด ชัยภูมิ 36000,ชัยภูมิ,Esan,36000,092-2471316,092-2477516,092-2477616,1160,07:30 น. - 19:00 น.,https://lin.ee/4AidXEm,https://bit.ly/FB-GBH-CP,"https://maps.google.com/?q=15.7636941,102.022294",15.7636941,102.022294,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), อู่ซ่อมรถ(2), คาเฟ่(2), ร้านอาหาร(2), ที่พัก/โรงแรม(1), ปั๊มน้ำมัน(1)","โรงแรมบีบีเอ็ม, บริษัท ค็อกพิท สำราญการยาง จำกัด, โกลบอลเฮ้าส์ ชัยภูมิ, บ้านกรองน้ำ ชัยภูมิ, Inthanin Coffee, ปั๊มน้ำมันบางจาก - ชัยภูมิ, โฮมโปร ชัยภูมิ, La Mayon coffee (ลามายอน), ร้านวนิดาลาบก้อย, เกดไก่ย่าง ลาบก้อย ตามสั่ง"
GH-119,สาขาสุรินทร์,88 หมู่ที่ 13 ตำบลเฉนียง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์ 32000,สุรินทร์,Esan,32000,092-2471317,092-2477517,092-2477617,1160,07:30 น. - 19:00 น.,https://lin.ee/g94P2NW,https://bit.ly/FB-GBH-SR,"https://maps.google.com/?q=14.850555,103.472854",14.850555,103.472854,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(2), ที่พัก/โรงแรม(2), ตู้ ATM(2), วัด/ศาสนสถาน(1), โรงเรียน(1), คาเฟ่(1)","วัดป่าโยธาประสิทธิ์, สำนักงานประกันสังคมจังหวัดสุรินทร์, พิพิธภัณฑ์สถานแห่งชาติสุรินทร์, โกลบอลเฮ้าส์ สุรินทร์, หจก.เกษมซีเมนต์บล็อก, มาสด้าสุรินทร์, โรงเรียนบ้านหนองเต่า, เจ้าสัว รีสอร์ท, โรงแรม สวนป่ารีสอร์ท, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (สุรินทร์)"
